temp,egg,L1,L2,L3,L4
-13.96,0.6027228535393946,4.5656556021831844e23,4.5656556021831844e23,4.5656556021831844e23,4.5656556021831844e23
-13.95,0.6016646432272197,4.283536529453937e23,4.283536529453937e23,4.283536529453937e23,4.283536529453937e23
-13.94,0.6006082908320931,4.019055256804818e23,4.019055256804818e23,4.019055256804818e23,4.019055256804818e23
-13.93,0.5995537930920393,3.7710964827479003e23,3.7710964827479003e23,3.7710964827479003e23,3.7710964827479003e23
-13.92,0.5985011467508102,3.5386162138192065e23,3.5386162138192065e23,3.5386162138192065e23,3.5386162138192065e23
-13.91,0.5974503485578748,3.320637156144085e23,3.320637156144085e23,3.320637156144085e23,3.320637156144085e23
-13.9,0.5964013952684092,3.116244407968166e23,3.116244407968166e23,3.116244407968166e23,3.116244407968166e23
-13.89,0.5953542836432864,2.9245814332953492e23,2.9245814332953492e23,2.9245814332953492e23,2.9245814332953492e23
-13.88,0.5943090104490664,2.7448462980999798e23,2.7448462980999798e23,2.7448462980999798e23,2.7448462980999798e23
-13.87,0.5932655724579855,2.576288151814263e23,2.576288151814263e23,2.576288151814263e23,2.576288151814263e23
-13.86,0.5922239664479487,2.4182039379414936e23,2.4182039379414936e23,2.4182039379414936e23,2.4182039379414936e23
-13.85,0.5911841892025166,2.2699353187216868e23,2.2699353187216868e23,2.2699353187216868e23,2.2699353187216868e23
-13.84,0.5901462375108975,2.1308657997766804e23,2.1308657997766804e23,2.1308657997766804e23,2.1308657997766804e23
-13.83,0.589110108167937,2.000418041595849e23,2.000418041595849e23,2.000418041595849e23,2.000418041595849e23
-13.82,0.5880757979741078,1.8780513455972893e23,1.8780513455972893e23,1.8780513455972893e23,1.8780513455972893e23
-13.81,0.5870433037355003,1.763259303310303e23,1.763259303310303e23,1.763259303310303e23,1.763259303310303e23
-13.8,0.5860126222638123,1.655567597985821e23,1.655567597985821e23,1.655567597985821e23,1.655567597985821e23
-13.79,0.5849837503763395,1.554531948648869e23,1.554531948648869e23,1.554531948648869e23,1.554531948648869e23
-13.78,0.5839566848959655,1.459736187267951e23,1.459736187267951e23,1.459736187267951e23,1.459736187267951e23
-13.77,0.582931422651152,1.3707904603327438e23,1.3707904603327438e23,1.3707904603327438e23,1.3707904603327438e23
-13.76,0.581907960475929,1.287329546707558e23,1.287329546707558e23,1.287329546707558e23,1.287329546707558e23
-13.75,0.580886295209885,1.2090112841643598e23,1.2090112841643598e23,1.2090112841643598e23,1.2090112841643598e23
-13.74,0.5798664236981574,1.1355150975007638e23,1.1355150975007638e23,1.1355150975007638e23,1.1355150975007638e23
-13.73,0.5788483427914226,1.0665406216164465e23,1.0665406216164465e23,1.0665406216164465e23,1.0665406216164465e23
-13.72,0.5778320493458862,1.001806413357477e23,1.001806413357477e23,1.001806413357477e23,1.001806413357477e23
-13.71,0.5768175402232736,9.410487463462777e22,9.410487463462777e22,9.410487463462777e22,9.410487463462777e22
-13.7,0.57580481229082,8.840204833954006e22,8.840204833954006e22,8.840204833954006e22,8.840204833954006e22
-13.69,0.574793862421261,8.304900214580383e22,8.304900214580383e22,8.304900214580383e22,8.304900214580383e22
-13.68,0.5737846874928225,7.802403044003117e22,7.802403044003117e22,7.802403044003117e22,7.802403044003117e22
-13.67,0.5727772843892117,7.330678991899733e22,7.330678991899733e22,7.330678991899733e22,7.330678991899733e22
-13.66,0.5717716499996067,6.887821313848433e22,6.887821313848433e22,6.887821313848433e22,6.887821313848433e22
-13.65,0.5707677812186478,6.4720427607475974e22,6.4720427607475974e22,6.4720427607475974e22,6.4720427607475974e22
-13.64,0.5697656749464272,6.081668006825501e22,6.081668006825501e22,6.081668006825501e22,6.081668006825501e22
-13.63,0.5687653280884793,5.715126562648724e22,5.715126562648724e22,5.715126562648724e22,5.715126562648724e22
-13.62,0.5677667375557723,5.370946141738813e22,5.370946141738813e22,5.370946141738813e22,5.370946141738813e22
-13.61,0.5667699002646973,5.0477464514567275e22,5.0477464514567275e22,5.0477464514567275e22,5.0477464514567275e22
-13.6,0.5657748131370594,4.74423338073157e22,4.74423338073157e22,4.74423338073157e22,4.74423338073157e22
-13.59,0.5647814731000681,4.459193559004262e22,4.459193559004262e22,4.459193559004262e22,4.459193559004262e22
